age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country
48,Self-emp-not-inc,246891,Prof-school,15,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States
70,Self-emp-inc,243436,9th,5,Divorced,Sales,Not-in-family,White,Male,0,0,45,United-States
44,Local-gov,68318,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,55,United-States
58,Private,56331,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
41,Private,190591,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,Black,Female,0,0,40,Jamaica
28,Private,122540,10th,6,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States
65,Private,212562,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,20,United-States
35,Self-emp-not-inc,112497,HS-grad,9,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,35,Ireland
82,Private,147729,5th-6th,3,Widowed,Other-service,Unmarried,White,Male,0,0,20,United-States
48,Self-emp-not-inc,296066,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States
42,Private,306496,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
54,Private,163894,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States
22,Private,113936,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States
43,Self-emp-not-inc,316820,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,84,United-States
17,Private,53367,9th,5,Never-married,Other-service,Own-child,White,Female,0,0,35,United-States
46,Self-emp-not-inc,95256,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,United-States
59,Private,127728,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
37,Private,66686,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
47,?,186805,HS-grad,9,Married-civ-spouse,?,Not-in-family,White,Female,0,0,35,United-States
31,Private,154297,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,24,United-States
23,Private,103064,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States
63,Private,440607,Preschool,1,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,30,Mexico
44,Private,212894,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States
30,Private,167990,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
23,Private,378460,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,20,United-States
24,Private,153583,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States
34,Private,114639,Some-college,10,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,20,United-States
37,Private,344480,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,65,United-States
24,Private,188300,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States
32,Private,105938,HS-grad,9,Divorced,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States
42,Self-emp-not-inc,217826,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,25,Jamaica
20,Private,379525,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,10,United-States
37,Private,127918,Some-college,10,Never-married,Transport-moving,Unmarried,White,Female,0,0,20,Puerto-Rico
47,Federal-gov,27067,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
25,Private,250038,9th,5,Never-married,Farming-fishing,Other-relative,White,Male,0,0,45,Mexico
60,Private,308608,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States
32,Local-gov,235109,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
33,State-gov,374905,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
71,Private,118876,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,14,United-States
55,Local-gov,223716,Some-college,10,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States
85,Self-emp-not-inc,166027,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,50,United-States
57,Self-emp-not-inc,275943,7th-8th,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?
25,Private,109080,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,55,United-States
58,Private,104333,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
57,Private,195876,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
30,Private,390879,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Female,0,0,36,United-States
19,Private,197748,11th,7,Divorced,Sales,Unmarried,White,Female,0,0,20,United-States
40,Private,442045,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
28,Private,44216,HS-grad,9,Never-married,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States
43,Federal-gov,114537,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
40,?,253370,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,0,0,35,United-States
19,Private,274830,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States
24,Private,321763,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,38,United-States
34,Private,213226,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,65,United-States
22,Private,167787,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States
64,Self-emp-not-inc,352712,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,55,United-States
55,?,316027,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,0,0,40,?
26,Private,213412,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
80,Private,202483,HS-grad,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,0,0,16,United-States
